id	code	axe	libelle
1	1	1	Autisme et Troubles psychotiques
2	2	1	Troubles névrotiques
3	3	1	Pathologies limites
4	4	1	Troubles reactionnels
5	5	1	Deficiences mentales (arriérations, débilités mentales, démences)
6	6	1	Troubles du développement et des fonctions instrumentales
7	7	1	TROUBLES DES CONDUITES ET DES COMPORTEMENTS
8	8	1	TROUBLES A EXPRESSION SOMATIQUE
9	9	1	Variations de la normale
10	10	1	Psychoses Précoces (Troubles envahissants du développement)
11	11	1	Schizophrénies
12	12	1	Troubles délirants
13	13	1	Troubles psychotiques aigus
14	14	1	Troubles thymiques
15	15	1	Etats dépressifs après épisode psychotique
16	18	1	Autres Troubles Psychotiques
17	19	1	Troubles Psychotiques non spécifiés
18	20	1	Troubles névrotiques à dominante anxieuse
19	21	1	Troubles névrotiques à dominante hystérique
20	22	1	Troubles névrotiques à dominante phobique
21	23	1	Troubles névrotiques à dominante obsessionnelle
22	24	1	Troubles névrotiques avec prédominance des inhibitions
23	25	1	Dépression névrotique
24	26	1	Caractères névrotiques, pathologies névrotiques de la personnalité
25	27	1	Troubles névrotiques avec perturbations prédominantes des fonctions instrumentales
26	28	1	Autres
27	29	1	Non spécifiés
28	30	1	Dysharmonies évolutives
29	31	1	Pathologie limite avec dominance des troubles de la personnalité
30	32	1	Pathologie limite à dominante schizotypique
31	33	1	Pathologie limite à dominante comportementale
32	34	1	Dépressions liées à une pathologie limite
33	38	1	Autres pathologies limites
34	39	1	Pathologies limites non spécifiées
35	40	1	Dépression réactionnelle
36	41	1	Manifestations réactionnelles
37	42	1	Syndrome de stress post traumatique
38	50	1	Q I 50 - 69
39	51	1	Q I 35 - 49
40	52	1	Q I 20 - 34
41	53	1	Q I < à 20
42	54	1	Q I Non spécifié
43	60	1	Troubles de la Parole et du Langage
44	61	1	Troubles Cognitifs et des Acquisitions Scolaires
45	62	1	Troubles psychomoteurs
46	70	1	TROUBLES hyperkinétiques
47	71	1	Troubles des conduites alimentaires
48	72	1	Tentatives de suicide
49	73	1	Troubles liés à l'usage de drogues ou d'alcool
50	74	1	Troubles de l'angoisse de séparation
51	75	1	Troubles de l'identité et des conduites sexuelles
52	76	1	Phobies scolaires
53	77	1	Autres troubles caractérisés des conduites
54	78	1	Autres troubles des conduites et des comportements
55	79	1	Troubles des conduites non spécifiés
56	80	1	Affections psychosomatiques
57	81	1	TROUBLES psychofonctionnels
58	82	1	Trouble hypocondriaque
59	83	1	Enurésie
60	84	1	Encoprésie
61	85	1	Troubles du sommeil
62	86	1	Retard de croissance psychogène
63	88	1	Autres troubles à expression somatique
