1,"ACCUEIL",,"o"
2,"1ER CONSULTATION",,"o"
3,"BILAN PSYCHOLOGIQUE",,"o"
4,"BILAN ORTHOPHONIQUE",,"o"
5,"BILAN PSYCHOMOTEUR",,"o"
6,"BILAN LOGICO MATHEMATIQUE",,"o"
7,"BILAN PSYCHO-PEDAGOGIQUE",,
9,"PSYCHO THERAPIE",,"o"
10,"ENTRETIEN",,"o"
11,"ORTHOPHONIE",,"o"
12,"PSYCHOMOTRICITE",,"o"
13,"LOGICO MATHEMATIQUE",,"o"
14,"RPP",,
15,"GROUPE A MEDIATION CORPORELLE",,
16,"GROUPE LANGAGE",,
17,"GROUPE PSYCHOMOTRICITE LANGAGE",,
18,"GROUPE EXPRESSION",,
19,"GROUPE PARENTS",,
20,"GROUPE PSYCHOMOTRICITE",,
21,"VAD",,
22,"TELEPHONE","o","o"
23,"SUPERVISION","o",
24,"SYNTHESE","o",
25,"MINI SYNTHESE","o","o"
26,"REUNION A L'EXTERIEUR",,
28,"PREPARATION GROUPE","o",
29,"TRAVAIL PERSONNEL","o","o"
30,"RELAXATION",,
31,"REUNION","o",
34,"CONCERTATION+EQUIPE EXT.","o","o"
35,"PSYCHOMOT + MERE",,
37,"2 PSYCHOMOT + 1 ENFANT",,
38,"GROUPE D'ADOS",,
39,"GROUPE PSYCHOTHERAPIE",,
41,"BILAN NEURO PSYCHOLOGIQUE",,
42,"2 PSYCHO + 1 ENFANT",,
43,"E.S.S.","o","o"
44,"GRAPHOTHERAPIE",,
45,"ERGOTHERAPIE",,
46,"BILAN ERGOTHERAPIE",,
47,"1 PSYCHO + 1 PSYCHOMOT",,
48,"PSYCHODRAME",,
49,"BILAN GRAPHOTHERAPIE",,
50,"BILAN COGNITIF",,"o"
51,"REMEDIATION COGNITIVE",,"o"
52,"T.C.C.",,"o"
53,"THERAPIE FAMILIALE ANALYTIQUE",,"o"
54,"ENFANT +  MERE",,"o"
55,"GROUPE LOGICO-MATHEMATIQUES",,
56,"GROUPE PARENTS/ENFANTS",,
57,"ENTRETIEN GRAPHOTHERAPIE",,
58,"ATELIER MOTS",,
59,"OBSERVATION DIAGNOSTIQUE",,"o"
60,"NOUVELLE DEMANDE",,"o"
61,"THERAPIE FAMILIALE",,"o"
62,"GROUPE MODELAGE",,
63,"ORTHO + MERE",,
64,"CONSULT TEL TCC",,
65,"TRAVAIL AVEC STAGIAIRE","o",
66,"GROUPE DES IDEES PLEIN LA TETE",,
