1,"ACCUEIL",,"o"
2,"ENTRETIEN FAMILIAL",,"o"
3,"ENTRETIEN ENFANT",,"o"
4,"PSYCHOTHÉRAPIE",,"o"
5,"ORTHOPHONIE",,"o"
7,"PSYCHOMOTRICITÉ",,"o"
10,"BILAN PSYCHOLOGIQUE",,"o"
11,"BILAN PSYCHOMOTEUR",,"o"
12,"BILAN ORTHOPHONIQUE",,"o"
13,"TÉLÉPHONE",,"o"
14,"COURRIER",,"o"
15,"SYNTHÉSE",,"o"
23,"GROUPE PSYCHOMOTRICITÉ",,"o"
24,"GROUPE DE PARENTS",,"o"
25,"BILAN LOGICO-MATHÉMATIQUES",,"o"
26,"RÉÉDUCATION LOGICO-MATHÉMATIQUES",,"o"
27,"E.S.S.",,"o"
28,"BILAN NEUROPSYCHOLOGIQUE",,"o"
29,"BILAN ORTHOPHONIQUE EN LIBÉRAL",,"o"
30,"ORTHOPHONIE EN LIBÉRAL",,"o"
31,"ERGOTHÉRAPIE",,"o"
32,"RENCONTRE PARENTS/ÉQUIPE SESSAD",,"o"
33,"BILAN ERGOTHÉRAPIE",,"o"
34,"PSYCHOTHÉRAPIE À L'ÉCOLE",,"o"
35,"ORTHOPHONIE À L'ÉCOLE",,"o"
36,"PSYCHOMOTRICITÉ À L'ÉCOLE",,"o"
37,"LOGICO-MATHÉMATIQUES À L'ÉCOLE",,"o"
38,"ERGOTHÉRAPIE À L'ÉCOLE",,"o"
39,"CONSULTATION PLURIDISCIPLINAIRE D'ACCUEIL",,"o"
40,"PRÉSENTATION DU SERVICE",,"o"
41,"MINI-SYNTHÈSE",,"o"
43,"REMÉDIATION COGNITIVE",,"o"
44,"GROUPE A MEDIATION COGNITIVE",,"o"
45,"GROUPE PSYCHO/PSYCHOMOT",,"o"
46,"CONCERTATION + ÉQUIPE EXTÉRIEURE",,"o"
47,"TRAVAIL PERSONNEL",,"o"
48,"THÉRAPIE FAMILIALE ANALYTIQUE",,"o"
49,"ATELIER MOTS",,"o"
50,"SYNTHÈSE AVEC PARTICIPANTS EXTÉRIEURS",,"o"
51,"GROUPE LOGICO-MATHS",,"o"
53,"PSYCHOMOTRICITÉ ENFANT + MÈRE",,"o"
54,"GROUPE DES FILLES CMPP/SESSAD",,"o"
55,"T.C.C.",,"o"
56,"GROUPE ORTHO PSYCHOMOT",,"o"
57,"GROUPE NEURO-PSY/PSYCHOMOT",,"o"
58,"GROUPE NEUROPSY/PSYCHOMOT + Parents",,"o"
59,"MEDIALEXIE",,"o"
60,"TRAVAIL PERSONNEL",,"o"
61,"GROUPE PSYCHO/ORTHO",,"o"
63,"ENTRETIEN",,"o"
